"(-12, 31)",10.57
"(-12, 32)",10.06
"(-12, 33)",9.47
"(-12, 34)",8.91
"(-12, 35)",7.51
"(-12, 36)",6.18
"(-12, 37)",5.25
"(-12, 38)",4.69
"(-12, 39)",3.94
"(-12, 40)",3.5
"(-12, 41)",1.81
"(-12, 42)",1.92
"(-12, 43)",1.22
"(-12, 44)",1.16
"(-12, 45)",1.11
"(-12, 46)",1.93
"(-12, 47)",2.36
"(-12, 48)",3.69
"(-12, 49)",5.15
"(-12, 50)",6.95
"(-12, 51)",3.01
"(-12, 52)",2.9
"(-12, 53)",6.47
"(-12, 54)",8.18
"(-12, 55)",6.49
"(-12, 56)",5.89
"(-12, 57)",3.91
"(-12, 58)",2.3
"(-12, 59)",1.01
"(-12, 60)",1.18
"(-12, 61)",3.35
"(-12, 62)",5.35
"(-12, 63)",6.59
"(-12, 64)",5.28
"(-12, 65)",2.69
"(-12, 66)",2.67
"(-12, 67)",2.57
"(-12, 68)",4.02
"(-12, 69)",5.91
"(-12, 70)",6.99
"(-12, 71)",5.29
"(-12, 72)",4.62
"(-11, 28)",4.19
"(-11, 29)",3.65
"(-11, 30)",8.03
"(-11, 31)",11.04
"(-11, 32)",10.53
"(-11, 33)",10.1
"(-11, 34)",8.93
"(-11, 35)",7.83
"(-11, 36)",6.99
"(-11, 37)",6.81
"(-11, 38)",6.07
"(-11, 39)",5.07
"(-11, 40)",3.75
"(-11, 41)",2.39
"(-11, 42)",1.96
"(-11, 43)",0.64
"(-11, 44)",0.93
"(-11, 45)",2.14
"(-11, 46)",3.27
"(-11, 47)",4.69
"(-11, 48)",5.27
"(-11, 49)",7.13
"(-11, 50)",5.91
"(-11, 51)",3.8
"(-11, 52)",3.34
"(-11, 53)",4.7
"(-11, 54)",9.3
"(-11, 55)",7.66
"(-11, 56)",5.79
"(-11, 57)",4.41
"(-11, 58)",3.25
"(-11, 59)",2.63
"(-11, 60)",1.29
"(-11, 61)",1.09
"(-11, 62)",3.4
"(-11, 63)",3.66
"(-11, 64)",3.53
"(-11, 65)",2.66
"(-11, 66)",0.41
"(-11, 67)",3.99
"(-11, 68)",4.86
"(-11, 69)",5.71
"(-11, 70)",6.82
"(-11, 71)",6.75
"(-11, 72)",5.23
"(-10, 28)",2.65
"(-10, 29)",2.78
"(-10, 30)",1.01
"(-10, 31)",9.22
"(-10, 32)",11.62
"(-10, 33)",9.96
"(-10, 34)",9.22
"(-10, 35)",8.23
"(-10, 36)",8.07
"(-10, 37)",8.36
"(-10, 38)",8.47
"(-10, 39)",7.23
"(-10, 40)",6.42
"(-10, 41)",5.03
"(-10, 42)",3.78
"(-10, 43)",2.19
"(-10, 44)",2.11
"(-10, 45)",3.64
"(-10, 46)",5.77
"(-10, 47)",5.69
"(-10, 48)",6.77
"(-10, 49)",6.8
"(-10, 50)",4.63
"(-10, 51)",5.2
"(-10, 52)",1.58
"(-10, 53)",5.88
"(-10, 54)",5.79
"(-10, 55)",6.79
"(-10, 56)",6.33
"(-10, 57)",5.45
"(-10, 58)",4.4
"(-10, 59)",3.86
"(-10, 60)",2.68
"(-10, 61)",1.38
"(-10, 62)",0.1
"(-10, 63)",1.29
"(-10, 64)",1.67
"(-10, 65)",1.16
"(-10, 66)",0.85
"(-10, 67)",3.69
"(-10, 68)",5.61
"(-10, 69)",6.01
"(-10, 70)",6.61
"(-10, 71)",5.99
"(-10, 72)",6.03
"(-9, 28)",3.56
"(-9, 29)",1.4
"(-9, 30)",0.9
"(-9, 31)",4.49
"(-9, 32)",5.53
"(-9, 33)",9.03
"(-9, 34)",8.45
"(-9, 35)",7.58
"(-9, 36)",9.03
"(-9, 37)",8.9
"(-9, 38)",6.89
"(-9, 39)",3.41
"(-9, 40)",8.14
"(-9, 41)",8.13
"(-9, 42)",5.92
"(-9, 43)",0.8
"(-9, 44)",3.38
"(-9, 45)",5.49
"(-9, 46)",6.67
"(-9, 47)",7.7
"(-9, 48)",8.15
"(-9, 49)",6.85
"(-9, 50)",5.61
