FID,port_id,data_src_c,port_coor_,the_geom
portlocations.776,FIPOR,2109,7,POINT (61.492492676 21.79309082)
portlocations.777,NOFRO,2109,5,POINT (61.600891113 5.03228759800004)
portlocations.778,SEIGG,2109,6,POINT (61.641479492 17.099914551)
portlocations.779,NOBRE,9998,1,POINT (61.8400878910001 4.97027587900004)
portlocations.780,NOMAY,5106,1,POINT (61.934875488 5.11468505900007)
portlocations.781,FIKAS,5106,6,POINT (62.35949707 21.2185058590001)
portlocations.782,SESDL,2109,6,POINT (62.3890991210001 17.3225097660001)
portlocations.783,NOAES,5106,6,POINT (62.463684082 6.16870117200006)
portlocations.784,SESOR,2108,8,POINT (62.4967041020001 17.502075195)
portlocations.785,SEHND,2109,6,POINT (62.6334838870001 17.9332885740001)
portlocations.786,NOMOL,2109,5,POINT (62.732727051 7.14630127000004)
portlocations.787,FIVAA,2108,1,POINT (63.0870971680001 21.606079102)
portlocations.788,NOKSU,2109,7,POINT (63.114074707 7.73712158200004)
portlocations.789,SEOER,5106,5,POINT (63.285705566 18.71887207)
portlocations.790,SEHUS,2109,5,POINT (63.3278808590001 19.155090332)
portlocations.791,NOTRD,2109,6,POINT (63.4379272460001 10.393127441)
portlocations.792,FIPRS,2110,1,POINT (63.7135009770001 22.6906738280001)
portlocations.793,NOVER,2109,5,POINT (63.7474975590001 11.297485352)
portlocations.794,SEUME,2108,1,POINT (63.785705566 20.3090820310001)
portlocations.795,FIKOK,2110,1,POINT (63.836730957 23.0371093750001)
portlocations.796,FIRTR,2109,1,POINT (64.659729004 24.41192627)
portlocations.797,FIRAA,2108,8,POINT (64.682495117 24.463928223)
portlocations.798,SESFT,2108,1,POINT (64.684875488 21.243713379)
portlocations.799,FIOUL,2109,2,POINT (65.000305176 25.4174804690001)
portlocations.800,SEPIT,2109,6,POINT (65.304504395 21.464904785)
portlocations.801,SELLA,2109,6,POINT (65.57989502 22.165893555)
portlocations.802,FIKEM,2109,2,POINT (65.658508301 24.5371093750001)
portlocations.803,FITOR,2109,7,POINT (65.7539062500001 24.15612793)
portlocations.804,NOMJF,5106,5,POINT (65.8500976560001 13.185119629)
portlocations.805,SEKAX,5106,6,POINT (65.852905273 23.133117676)
portlocations.806,NORNA,9998,7,POINT (66.319702148 14.1334838870001)
portlocations.807,NOBOO,2109,6,POINT (67.2894897460001 14.39630127)
portlocations.808,NONVK,2109,1,POINT (68.4330125720001 17.414458745)
portlocations.809,NOHRD,5106,7,POINT (68.791870117 16.597473145)
portlocations.810,NOTOS,5106,5,POINT (69.652709961 18.9686889650001)
portlocations.811,NOKKN,5106,5,POINT (69.7296752930001 30.0593261720001)
portlocations.812,NOHFT,2108,8,POINT (70.665100098 23.681518555)
portlocations.813,DEBKE,2109,5,POINT (53.3322753910001 8.48547363300003)
portlocations.814,DENHA,2109,5,POINT (53.4948730470001 8.49267578100006)
portlocations.815,CYDHK,9998,,POINT (34.9801445000001 33.7313270000001)
portlocations.816,EEHLT,2109,2,POINT (58.8670665000001 23.0468355)
portlocations.817,EEKUI,2109,3,POINT (58.5736495 23.3963185000001)
portlocations.818,EEPAR,9998,8,POINT (59.4478785000001 24.7491170000001)
portlocations.819,EERHK,2109,3,POINT (58.9078640000001 23.418413)
portlocations.820,EESLM,2108,6,POINT (59.4251360000001 27.7399110000001)
portlocations.821,EEVIR,5106,6,POINT (58.5761670000001 23.5080320000001)
portlocations.822,GRAPL,9998,,POINT (39.16952859 22.8881849530001)
portlocations.823,GRDRE,9998,7,POINT (38.340880284 21.846813787)
portlocations.824,GRKEM,9998,,POINT (37.295372 23.1632845)
portlocations.825,GRKOF,9998,8,POINT (36.9297833150001 25.5995414060001)
portlocations.826,GRPLM,9998,,POINT (38.973631245 26.367582038)
portlocations.827,GRSAT,9998,,POINT (38.4598045000001 20.6636370000001)
portlocations.828,ITPFO,9998,,POINT (45.0474981740001 12.3676984200001)
portlocations.829,NOBRO,9998,,POINT (59.85224364 10.538822876)
portlocations.830,SEELL,9998,,POINT (56.1566525000001 14.8188415000001)
portlocations.831,NOKVD,9998,,POINT (58.2619427560001 6.82135895800008)
portlocations.832,GRGMA,9998,,POINT (37.1576831580001 26.852438444)
portlocations.833,GRPIS,9998,8,POINT (38.3485525 20.685375)
portlocations.834,GRPLC,2108,8,POINT (39.101177352 26.1687704130001)
portlocations.835,GRPLG,2109,8,POINT (38.4723423560001 21.101439531)
portlocations.836,GRPSK,9998,,POINT (38.1081315000001 20.589863)
portlocations.837,MEKOT,9998,,POINT (42.424650199 18.766918242)
