FID,country,name,n_turbines,power_mw,status,year,dist_coast,notes,the_geom
windfarms.431,United Kingdom,MaramWind,,300,Planned,,93111.8512666,,POINT (58.1459999998002 -0.620000000099878)
windfarms.432,United Kingdom,Northland Power N2,,1500,Planned,,32824.1534413,,POINT (58.8600000001 -5.5399999998001)
windfarms.433,United Kingdom,Northland Power N4,,840,Planned,,9659.71052819,,POINT (58.4100000001 -6.78999999999996)
windfarms.434,United Kingdom,Orcadian Microgrid,,105,Planned,,94125.836883,,POINT (58.1199999996003 -0.560000000399668)
windfarms.435,United Kingdom,Pentland,,100,Planned,,9009.09572572,,POINT (58.6499999998002 -3.8500000002997)
windfarms.436,United Kingdom,Race Bank Extension,,573,Planned,,32695.2959706,,POINT (53.2760000000001 0.840999999750238)
windfarms.437,United Kingdom,SSE Renewables-Marubeni-CIP,,2610,Planned,,111841.657428,,POINT (56.6900000002998 -0.390000000199791)
windfarms.75,Finland,Korsnäs - Forststyrelsen,,,Planned,,15298.4918195,,POINT (62.7899999998002 20.7699999996004)
windfarms.79,Finland,Pori-Tahkoluoto Extension,,,Planned,,4409.46739564,,POINT (61.6699999997003 21.2599999997003)
windfarms.113,Greece,Musica 1,,,Planned,,2751.75244705,,POINT (38.5500000003997 26.2599999996003)
windfarms.114,Greece,Musica 2,,,Planned,,4009.57722091,,POINT (38.4099999996004 25.9100000002998)
windfarms.135,Ireland,Haven Offshore Array,,,Planned,,29137.5840624,,POINT (55.6899999996003 -7.42999999980009)
windfarms.197,Norway,Draugen,,,Planned,,58897.1124249,,POINT (64.3199999998002 7.75999999970026)
windfarms.228,Poland,Licence Application No. 75,,,Planned,,22213.7306103,,POINT (54.4500000001 15.9300000001)
windfarms.233,Poland,MEP EAST 2,,,Planned,,46598.528906,,POINT (54.95 16.3099999997003)
windfarms.234,Poland,NEPTUN,,,Planned,,29979.6413109,,POINT (54.9999999999001 17.1800000002998)
windfarms.237,Poland,Sea Wind Kliwer,,,Planned,,48170.0055586,,POINT (55.4700000003998 17.2400000000001)
windfarms.280,Spain,Musica 4,,,Planned,,4560.56797639,,POINT (27.6499999997003 -18.0800000000999)
windfarms.299,Sweden,Anemone,,,Planned,,16577.9536314,,POINT (57.4899999996003 17.2599999996003)
windfarms.315,Sweden,Gretas Klackar,,,Planned,,13678.3172406,,POINT (61.52 17.7200000002998)
windfarms.316,Sweden,Gretas Klackar II,,,Planned,,13678.3172406,,POINT (61.52 17.7200000002998)
windfarms.324,Sweden,Langgrund,,,Planned,,5268.06639713,,POINT (58.6499999998002 17.6700000003997)
windfarms.325,Sweden,Langgrund II,,,Planned,,8452.40324719,,POINT (58.5099999999001 17.3399999998002)
windfarms.332,Sweden,Njord,,,Planned,,1756.81415518,,POINT (54.9900000001 14.9499999999001)
windfarms.334,Sweden,Norra Klasgrunden,,,Planned,,2976.3651986,,POINT (58.6099999997003 17.1199999997003)
windfarms.342,Sweden,Södra Klasgrunden,,,Planned,,3699.63600894,,POINT (58.5800000002998 17.1099999999001)
windfarms.348,Sweden,Triton,,,Planned,,20011.8962946,,POINT (55.1600000002998 13.2999999996003)
windfarms.350,Sweden,Utposten II,,,Planned,,10856.7159666,,POINT (61.0799999998002 17.5000000001999)
