FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.1463,United Kingdom,818112e2-0161-433f-9d9a-b14e95e2,Operational,HAMILTON NORTH,PLATFORM,WELLHEAD STEEL,ENI UK LIMITED,,,,,01/01/1995,,,26549.2763306,,POINT (53.646375983 -3.47790036899994)
platforms.1464,United Kingdom,3778d6a3-5f34-4cd2-9659-6f0f04c8,Operational,SOUTHWARK JACKET,OTHER SURFACE,SOUTHWARK JACKET,IOG PLC,,,,,,,,54559.4393137,,POINT (53.1832749000001 2.09692869000003)
platforms.1465,United Kingdom,e08d6897-fd22-4b81-a452-ff8e10e7,Operational,DP4 PLATFORM,PLATFORM,DP4 PLATFORM,SPIRIT ENERGY,,,,,,,,30141.2780153,Asset transfer from ConocoPhillips to Chrysaor October 2019,POINT (53.875254479 -3.56232433599996)
platforms.1466,United Kingdom,4f5b9312-0b8d-4d6d-9800-c76fbeed,Decommissioned,SALTIRE,PLATFORM,DRILLING PRODUCTION STEEL,REPSOL SINOPEC RESOURCES,,,,,,,,155857.050403,,POINT (58.416806815 0.334206019000021)
platforms.1467,United Kingdom,8ad8e54b-455a-46a6-a48b-01cb3120,Operational,AOKA MIZU,FPSO,AOKA MIZU FPSO,HURRICANE ENERGY,,,,,14/12/2018,,,97511.7454567,FPSO Subsea Mooring System consists of 12 mooring lines and disconnectable turret buoy,POINT (60.179919657 -3.86908693699996)
platforms.1468,United Kingdom,b577a212-4aee-4232-b555-4e37bad8,Operational,WEST SOLE A (8 LEG),PLATFORM,PRODUCTION & ACCOMMODATION STEEL,PERENCO OIL & GAS,,,,,,,,67042.6527868,,POINT (53.702631351 1.14848171400007)
platforms.1469,United Kingdom,e1eb9e10-1e81-4089-9d23-936a0791,Operational,KILMAR NUI,PLATFORM,PLATFORM STEEL,ALPHA PETROLEUM UK HOLDINGS,,,,,,,,94098.645041,Operator transferred to Alpha Petroleum October 2021,POINT (54.289859322 1.33480775500004)
platforms.1470,United Kingdom,023e2dfc-45ce-43da-9559-89ddd102,Operational,LEMAN BD,PLATFORM,LEMAN BD,ROYAL DUTCH SHELL,,,,,01/06/1969,,,50071.3177161,,POINT (53.075809801 2.18403804500002)
platforms.1471,United Kingdom,5dd940d0-14c3-4c36-bed2-59e56258,Decommissioned,MCP01,PLATFORM,MANIFOLD COMPRESSION CONCRETE GRAVITY BASE,TOTALENERGIES UPSTREAM UK LIMITED,,,,,,,,108233.079968,"Concrete Structure Remains. DECC comment, we have been advised by Total that they have received the SFF clear seabed certificate and the trawl tests have been completed.",POINT (58.826840051 -0.287995102999957)
platforms.1472,United Kingdom,465a4591-7ead-4ec4-bee9-5a42a0d0,Operational,SIZEWELL GUARD BUOY KFB25/2012 AREA3,BUOY,SIZEWELL GUARD BUOY KFB25/2012 AREA3,CEFAS,,,,,01/08/2012,,,4270.35990207,OCEANOGRAPHIC EQUIPMENT FITTED WITH A YELLOW LIGHT EXHIBITING THE SEQUENCE FL Y (5) 20S,POINT (52.2094992830001 1.68603165400003)
platforms.1473,United Kingdom,94631e9f-dda9-48f4-be3a-9355ff74,Operational,ROUGH AD,PLATFORM,ROUGH AD,CENTRICA STORAGE HOLDINGS,,,,,01/01/1975,,,29438.3046961,"Rough AD and AP, two platforms linked by a footbridge",POINT (53.8244670820001 0.469796684000073)
platforms.1474,United Kingdom,d584d6c1-8060-4cc2-a560-9c4b4c01,Operational,RAVENSPURN NORTH CCW,PLATFORM,WELLHEAD STEEL,PERENCO OIL & GAS,,,,,,,,76758.3624722,,POINT (54.0311146000001 1.10221901700004)
platforms.1475,United Kingdom,13fe7722-fc50-4e5f-a5f9-c4c36393,Operational,THISTLE A,PLATFORM,PRODUCTION & DRILLING STEEL,ENQUEST PLC,,,,,,,,139759.752348,,POINT (61.362546487 1.57817335900006)
platforms.1476,United Kingdom,a28407e3-3ee5-4a54-b74a-a21acc1c,Closed down,PICKERILL A,PLATFORM,WELLHEAD STEEL,PERENCO OIL & GAS,,,,,,,,58487.2560155,,POINT (53.5492212720001 1.07584794700006)
platforms.1478,United Kingdom,684351ca-2bbf-4afe-a9f3-7224e0a4,Operational,HASTINGS GUARD BUOY 1 KFB25/2012 AREA3,BUOY,HASTINGS GUARD BUOY 1 KFB25/2012 AREA3,CEFAS,,,,,01/08/2012,,,15243.7820997,OCEANOGRAPHIC EQUIPMENT FITTED WITH A YELLOW LIGHT EXHIBITING THE SEQUENCE FL Y (5) 20S,POINT (50.747168593 0.755273415000033)
platforms.1479,United Kingdom,1c4be57d-ddd6-4bfb-95df-c1d5aea6,Operational,CAPTAIN BLPA,PLATFORM,WELLHEAD DRILLING & ACCOMMODATION STEEL,ITHACA ENERGY,,,,,,,,69061.0801232,,POINT (58.306058718 -1.77111445299994)
platforms.1480,United Kingdom,58c3f1b1-5d23-4406-9f5e-adfb621e,Operational,LEMAN H,PLATFORM,WELLHEAD ACCOMMODATION STEEL,PERENCO OIL & GAS,,,,,,,,46455.9812946,,POINT (53.00401458 2.21389773700002)
platforms.1481,United Kingdom,00944471-1d55-48d5-8dcb-76fc1e6f,Operational,ELGIN A WHP,PLATFORM,ELGIN A WELLHEAD PRODUCTION STEEL,TOTALENERGIES UPSTREAM UK LIMITED,,,,,01/03/2000,,,224266.57708,,POINT (57.0116119150001 1.83855408600004)
platforms.1482,United Kingdom,18137851-e94d-4327-8df2-28b4d24c,Operational,HUMMINGBIRD FPSO,FPSO,HUMMINGBIRD,TEEKAY PETROJARL,,,,,23/12/2007,,,186442.679902,"1st circular FPSO in North Sea, WG PSN operators",POINT (57.9762695480001 1.23772562700003)
platforms.1483,United Kingdom,3e347f9e-d8a1-4f0f-a1f4-886c0e83,Operational,ERSKINE,PLATFORM,DRILLING LIFT,ITHACA ENERGY,,,,,,,,237139.576004,,POINT (57.0392138920001 2.06985976600004)
platforms.1484,United Kingdom,91046a87-f1c8-45d0-9482-2075dcd8,Operational,SCOTT JU,PLATFORM,ACCOMMODATION STEEL JACK-UP,CNOOC INTERNATIONAL,,,,,,,,141469.488991,,POINT (58.288353574 0.199187298000027)
platforms.1485,United Kingdom,6ec64662-c785-40ad-840e-d21cc5f9,Operational,ELGIN B WHP,PLATFORM,ELGIN B WELLHEAD PLATFORM,TOTALENERGIES UPSTREAM UK LIMITED,,,,,03/09/2012,,,224362.558833,Jacket installation October 2012,POINT (57.012030173 1.84039086500007)
platforms.1486,United Kingdom,3bd3897a-265e-476c-912c-ca7e0c42,Operational,GROVE PLATFORM,PLATFORM,GROVE PLATFORM,SPIRIT ENERGY,,,,,02/07/2006,,,132248.260092,Location taken from Kingfisher Fortnightly Bulletin 23/2006,POINT (53.7158303460001 2.85370082900005)
platforms.1487,United Kingdom,df475276-a888-4252-bf97-8fe47e8c,Operational,INDE AD,PLATFORM,DRILLING & ACCOMMODATION STEEL,PERENCO OIL & GAS,,,,,,,,90601.9156079,,POINT (53.3622196760001 2.56759405800005)
